,date,tweet,location
176,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Port Elizabeth, South Africa"
177,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",South Africa
178,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Pretoria west 
179,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…","Guilford, CT"
180,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Pretoria, South Africa🇿🇦🇿🇦"
181,2020-05-09,RT @thermo_systems: Thermo Systems is proud to be performing the controls integration work for this project. Very exciting to be a part of…,Jersey Girl
182,2020-05-09,"RT @DrSundara3: Italian firm claims to have made a vaccine to contain coronavirus https://t.co/fa2SYmsisH via @newsblogindia
Israel, UK, US…","New Delhi, India"
183,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…","São Paulo, Brasil"
184,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",AZANIA 
185,2020-05-09,"https://t.co/9Fq1i7zBsC
Can Ganga water treat Covid-19? ICMR says no to study, need more data
#gangajal #GANGA… https://t.co/30Ka4sKaeB",भारत
186,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",South Africa
187,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",
188,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Johannesburg, South Africa"
189,2020-05-09,"#OperationWarpSpeed: ""I think we'll have a #vaccine by the end of the year,"" #PresidentTrump 5/4/2020

$mrna $gild… https://t.co/B8HWSI5gw4","Irvine, CA"
190,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",JHB SA
191,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",South Africa
192,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Pietermaritzburg, South Africa"
193,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",Dobbs Ferry 
194,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…","Liverpool, England"
195,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Retweet Please!Spread the Word
196,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Evaton, South Africa"
197,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
198,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Rustenburg, South Africa"
199,2020-05-09,"RT @GRIDD_GU: Attend a free online Impact event on Tuesday 12th May at 1pm titled 'Hunt for a COVID 19 vaccine', presented by #GRIDD's Prof…",
200,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Johannesburg, South Africa"
201,2020-05-09,"In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this… https://t.co/FAuUUrPboP","New York, NY"
202,2020-05-09,"RT @pfizer: We are working determinedly to bring forth medical solutions that could bring an end to the #coronavirus pandemic.

Here’s Kath…","Dublin City, Ireland"
203,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Mars
204,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",United States
205,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Vanderbijlpark
206,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Durban, South Africa"
207,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",South Africa
208,2020-05-09,"@WHO on Thursday called for clinical trials of #Madagascar's Covid Organics, a #herbal drink that is said to preven… https://t.co/DSqiWNJK62",
209,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
210,2020-05-09,"RT @ellietheelement: No *you* forgot how terrible 9am meetings are 😑

I’m gonna be part of the #COVID19vaccine trial that’s taking place at…",Space
211,2020-05-09,RT @Dr_Pam_Jarvis: Wouldn't this be somewhat dangerous for retired people over 60 prior to the availability of a #COVID19vaccine ? Seems ex…,Brighton
212,2020-05-09,Thermo Systems is proud to be performing the controls integration work for this project. Very exciting to be a part… https://t.co/Ci8x8HXORx,
213,2020-05-09,RT @Dr_Pam_Jarvis: Wouldn't this be somewhat dangerous for retired people over 60 prior to the availability of a #COVID19vaccine ? Seems ex…,Scotland
214,2020-05-09,"RT @Dementia_2018: We are ready to publish on #covid19
mail us your articles :-dementiacongress@globalconferences.net
#covid19vaccine #covi…",singapore
215,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Bloemfontein, South Africa"
216,2020-05-09,#Moderna cleared for Phase 2 study of #Covid_19 vaccine https://t.co/InVoti6gfb #COVID19 #COVIDVACCINE #COVID19vaccine #coronavirusvaccine,
217,2020-05-09,"RT @ellietheelement: No *you* forgot how terrible 9am meetings are 😑

I’m gonna be part of the #COVID19vaccine trial that’s taking place at…","Warwickshire, UK"
218,2020-05-09,"#Moderna $MRNA received FDA approval for its #Covid19vaccine candidate to proceed to a #phase2 study. 

$spy $dia… https://t.co/15CB0pt2eB","Irvine, CA"
219,2020-05-09,@drsanjaygupta @ChrisCuomo @CNN Very promising advance on a #COVID19vaccine #COVID19 #vaccine https://t.co/D5pdkkR78c,"Boston, MA"
220,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Durban
221,2020-05-09,Wouldn't this be somewhat dangerous for retired people over 60 prior to the availability of a #COVID19vaccine ? See… https://t.co/crTDvq9Gb9,Yorkshire and The Humber
222,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Ceiling of the Earth
223,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Lokaleng (Mmabatho)
224,2020-05-09,"#QANON #Qarmy #DigitalSoldiers
#WWG1WGA #WWG1WGAWorldWide #TheGreatAwakeningWorldwide
#WeThePeopleWorldWide… https://t.co/eBorGg6mJ8",
225,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Azania🇿🇦
226,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
227,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Harare, Zimbabwe"
228,2020-05-09,@AnaCabrera Good to see the @FDA clearing #COVID19vaccine trials,"San Antonio, TX "
229,2020-05-09,"RT @GRIDD_GU: Attend a free online Impact event on Tuesday 12th May at 1pm titled 'Hunt for a COVID 19 vaccine', presented by #GRIDD's Prof…","Brisbane, Australia"
230,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Jerera Zaka weZhira
231,2020-05-09,"Take a look at our estimate for when the COVID-19 vaccine will be available, as well as the latest news updates on… https://t.co/SAa7Rb7EQ1",UK
232,2020-05-09,"I just volunteered for a #COVIDー19 vaccine trial 

""The dream of immunity passports is not likely to become a reali… https://t.co/ofqzB9An5c",
233,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Johannesburg, South Africa🇿🇦"
234,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Azania (South Africa)
235,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Cape Town, South Africa"
236,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Pretoria,South Africa"
237,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
238,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
239,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Durban, South Africa"
240,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Somewhere under the sea 🌊🐚⛵️
241,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Polokwane-Pretoria
242,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Inanda, South Africa"
243,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
244,2020-05-09,"RT @GrahamImpact: ""During Somalia's normal immunisation program, only 30-40 per cent of children have been successfully immunised against s…","Sydney, Australia"
245,2020-05-09,India's Council of Scientific and Industrial Research has proposed the testing of a sepsis treatment drug as a pote… https://t.co/RzePbRp1td,
246,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","South Africa,Kimberley "
247,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Delta
248,2020-05-09,This man terrifies me. With his fortune our planet and our lives are a mere experiment to toy with. Am I going to a… https://t.co/QKLViZdGjj,Australia 
249,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Gauteng 
250,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Pretoria, South Africa🇿🇦"
251,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",1685
252,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Johannesburg, South Africa"
253,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Pretoria, South Africa"
254,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Allanridge
255,2020-05-09,RT @NewsBytesApp: PiCoVacc - It uses an inactive SARS-CoV-2 to generate an immune response against the active version of the virus. #COVID1…,India
256,2020-05-09,RT @NewsBytesApp: ChAdOx1 - It uses a modified adenovirus to deliver the coronavirus' genetic material into the body and prime the immune s…,India
257,2020-05-09,RT @NewsBytesApp: INO-4800 -  It is a DNA-based vaccine that delivers genetic material of the virus into the cells and increases the produc…,India
258,2020-05-09,RT @NewsBytesApp: mRNA-1273 - This vaccine uses parts of the coronavirus' genetic material to generate an immune response from the body. #C…,India
259,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
260,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Thohoyandou
261,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Africa
262,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Jeddah, Kingdom of Saudi Arabi"
263,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Hargworts school of witchcraft
264,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Johannesburg, South Africa"
265,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Poughkeepsie, NY"
266,2020-05-09,"beyond all hopes for #COVID19vaccine and other effective drugs, we are expecting mutation and subsequent attenuated… https://t.co/YHdDT5o0kI",LUCKNOW/DEORIA UP INDIA
267,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
268,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
269,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Around 
270,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Johannesburg, South Africa"
271,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",South Africa
272,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",In The Sky 
273,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
274,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Pretoria, South Africa"
275,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Johannesburg, South Africa"
276,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…", Botswana
277,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Botswana
278,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Sbk
279,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Johannesburg
280,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Somewhere
281,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Modjadjiskloof 
282,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Johannesburg, South Africa"
283,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,Mumbai
284,2020-05-09,"RT @GrahamImpact: ""During Somalia's normal immunisation program, only 30-40 per cent of children have been successfully immunised against s…",Australia
285,2020-05-09,"""During Somalia's normal immunisation program, only 30-40 per cent of children have been successfully immunised aga… https://t.co/56t1d400wb",Australia
286,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
287,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",johannesburg
288,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
289,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",planet earth 
290,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Ekurhuleni, South Africa "
291,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Welkom
292,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
293,2020-05-09,"Italian company #ReiThera said its #COVID19vaccine had shown a ""strong immune response"" in #animals. Researchers in… https://t.co/3nls0lm18H",India
294,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",South Africa
295,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
296,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
297,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Witbank| Steelpoort | PHB 
298,2020-05-09,"RT @DrSundara3: Italian firm claims to have made a vaccine to contain coronavirus https://t.co/fa2SYmsisH via @newsblogindia
Israel, UK, US…","Hyderabad, India"
299,2020-05-09,RT @ManojGoelBJP: I think Israel and India will make #COVID19vaccine 👍 https://t.co/2rYeGU510h,
300,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",South Africa
301,2020-05-09,RT @ManojGoelBJP: I think Israel and India will make #COVID19vaccine 👍 https://t.co/2rYeGU510h,"Haryana, India"
302,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Johannesburg
303,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Kuruman, South Africa"
304,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Pretoria, South Africa 🇿🇦"
305,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Potch | Jhb, South Africa"
306,2020-05-09,"RT @thefasttalks: Italy claims first #COVID19vaccine 
The vaccine has been tested in the #Spallanzani Hospital in Rome. It is said to be on…",
307,2020-05-09,RT @NewsBytesApp: mRNA-1273 - This vaccine uses parts of the coronavirus' genetic material to generate an immune response from the body. #C…,"Nahur, mumbai"
308,2020-05-09,RT @NewsBytesApp: INO-4800 -  It is a DNA-based vaccine that delivers genetic material of the virus into the cells and increases the produc…,"Nahur, mumbai"
309,2020-05-09,RT @NewsBytesApp: ChAdOx1 - It uses a modified adenovirus to deliver the coronavirus' genetic material into the body and prime the immune s…,"Nahur, mumbai"
310,2020-05-09,RT @NewsBytesApp: PiCoVacc - It uses an inactive SARS-CoV-2 to generate an immune response against the active version of the virus. #COVID1…,"Nahur, mumbai"
311,2020-05-09,RT @NewsBytesApp: ChAdOx1 - It uses a modified adenovirus to deliver the coronavirus' genetic material into the body and prime the immune s…,Muzaffarpur
312,2020-05-09,RT @NewsBytesApp: PiCoVacc - It uses an inactive SARS-CoV-2 to generate an immune response against the active version of the virus. #COVID1…,Muzaffarpur
313,2020-05-09,RT @NewsBytesApp: INO-4800 -  It is a DNA-based vaccine that delivers genetic material of the virus into the cells and increases the produc…,Muzaffarpur
314,2020-05-09,RT @NewsBytesApp: mRNA-1273 - This vaccine uses parts of the coronavirus' genetic material to generate an immune response from the body. #C…,Muzaffarpur
315,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
316,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,"Mumbai, India"
317,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
318,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,"Mumbai, India"
319,2020-05-09,"#MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To F… https://t.co/mTCaDXwAj2","Soshanguve, South Africa"
320,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
321,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
322,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
323,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
324,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
325,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
326,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
327,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
328,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
329,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
330,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
331,2020-05-09,RT @Techfest_IITB: Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has successfu…,
332,2020-05-09,Italy claims to develop first #Covid_19 vaccine. Italian scientists have claimed to develop a vaccine that has succ… https://t.co/p5csAQGy0Q,"IIT Bombay, Mumbai"
333,2020-05-09,"I just volunteered for a #COVIDー19 vaccine trial 

""The dream of immunity passports is not likely to become a reali… https://t.co/xqI2T3MOsD",
334,2020-05-09,"RT @DrSundara3: Italian firm claims to have made a vaccine to contain coronavirus https://t.co/fa2SYmsisH via @newsblogindia
Israel, UK, US…","Ghar, Bombay, Delhi"
335,2020-05-09,RT @SaiLifeSciences: We are delighted to join the @covid_moonshot project that aims to deliver an antiviral drug candidate effective agains…,
336,2020-05-09,We are delighted to join the @covid_moonshot project that aims to deliver an antiviral drug candidate effective aga… https://t.co/PpD8jwiIQm,
337,2020-05-09,"RT @DrSundara3: Italian firm claims to have made a vaccine to contain coronavirus https://t.co/fa2SYmsisH via @newsblogindia
Israel, UK, US…","Henderson, NV"
338,2020-05-09,Llamas and camels to the rescue... #COVID19vaccine https://t.co/Ms79rjp9K7,"Kirkland, WA"
339,2020-05-09,RT @NewsBytesApp: INO-4800 -  It is a DNA-based vaccine that delivers genetic material of the virus into the cells and increases the produc…,Mumbai.
340,2020-05-09,RT @NewsBytesApp: PiCoVacc - It uses an inactive SARS-CoV-2 to generate an immune response against the active version of the virus. #COVID1…,#NY #AMD #GZP #VNS
341,2020-05-09,RT @NewsBytesApp: ChAdOx1 - It uses a modified adenovirus to deliver the coronavirus' genetic material into the body and prime the immune s…,#NY #AMD #GZP #VNS
342,2020-05-09,RT @NewsBytesApp: mRNA-1273 - This vaccine uses parts of the coronavirus' genetic material to generate an immune response from the body. #C…,#NY #AMD #GZP #VNS
343,2020-05-09,RT @NewsBytesApp: INO-4800 -  It is a DNA-based vaccine that delivers genetic material of the virus into the cells and increases the produc…,#NY #AMD #GZP #VNS
344,2020-05-09,RT @NewsBytesApp: PiCoVacc - It uses an inactive SARS-CoV-2 to generate an immune response against the active version of the virus. #COVID1…,Chennai 
345,2020-05-09,RT @NewsBytesApp: ChAdOx1 - It uses a modified adenovirus to deliver the coronavirus' genetic material into the body and prime the immune s…,Chennai 
346,2020-05-09,RT @NewsBytesApp: INO-4800 -  It is a DNA-based vaccine that delivers genetic material of the virus into the cells and increases the produc…,Chennai 
347,2020-05-09,RT @NewsBytesApp: mRNA-1273 - This vaccine uses parts of the coronavirus' genetic material to generate an immune response from the body. #C…,Chennai 
348,2020-05-09,"RT @GRIDD_GU: Attend a free online Impact event on Tuesday 12th May at 1pm titled 'Hunt for a COVID 19 vaccine', presented by #GRIDD's Prof…","Queensland, Australia"
