2020-05-09  18:49,1258399074690183168,Yikes! #COVID19 effect on unemployment figures=ill wind that blows nobody any good. Many unemployed haven't been ad… https://t.co/uzuFOK53i6,2020-05-07 14:11:33,,,,"Brooklyn, New York","neg"
2020-05-09  18:49,1257686609195130880,One of the most common questions that we are getting is how to answer interview questions about being laid off/furl… https://t.co/3DZ8cREmrY,2020-05-05 15:00:28,,,,"New York, NY"
2020-05-09  18:49,1256231375050604547,"RT @BvilleDailyNews: Missourians made nearly 55,000 new unemployment claims in the past week, increasing total claims since mid-March to ne…",2020-05-01 14:37:54,,,,"Michigan, USA"
2020-05-09  18:49,1256230937903464450,"Missourians made nearly 55,000 new unemployment claims in the past week, increasing total claims since mid-March to… https://t.co/4E3uNcExjN",2020-05-01 14:36:09,,,,"Boonville, Missouri"
2020-05-09  18:49,1256223360536784896,"Missourians made nearly 55,000 new unemployment claims in the past week, increasing total claims since mid-March to… https://t.co/6RjF2DyP0Y",2020-05-01 14:06:03,,,,"Mexico, Mo."
2020-05-09  18:49,1258399074690183168,Yikes! #COVID19 effect on unemployment figures=ill wind that blows nobody any good. Many unemployed haven't been ad… https://t.co/uzuFOK53i6,2020-05-07 14:11:33,,,,"Brooklyn, New York"
2020-05-09  18:49,1257686609195130880,One of the most common questions that we are getting is how to answer interview questions about being laid off/furl… https://t.co/3DZ8cREmrY,2020-05-05 15:00:28,,,,"New York, NY"
2020-05-09  18:49,1256231375050604547,"RT @BvilleDailyNews: Missourians made nearly 55,000 new unemployment claims in the past week, increasing total claims since mid-March to ne…",2020-05-01 14:37:54,,,,"Michigan, USA"
2020-05-09  18:49,1256230937903464450,"Missourians made nearly 55,000 new unemployment claims in the past week, increasing total claims since mid-March to… https://t.co/4E3uNcExjN",2020-05-01 14:36:09,,,,"Boonville, Missouri"
2020-05-09  18:49,1256223360536784896,"Missourians made nearly 55,000 new unemployment claims in the past week, increasing total claims since mid-March to… https://t.co/6RjF2DyP0Y",2020-05-01 14:06:03,,,,"Mexico, Mo."
2020-05-09  18:50,1259248294900969479,"@MollyJongFast We’ll consider her a #COVID19vaccine Control subject. Anecdotal, but still better than no data.",2020-05-09 22:26:03,,,,"Shenandoah Valley, VA"
2020-05-09  18:50,1259243389171765250,RT @aspiesmom: You choose: risk #Coronavirus OR risk #COVID19vaccine,2020-05-09 22:06:34,,,,Pinterest #CDCwhistleblower
